tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitSteps
231.00,gneE11_0,45.25,12.91,61.00,0.00,-gneE5_0,5.10,0.00,tripinfo_61,170.00,61,0,486.72,1.00,134.70,DEFAULT_VEHTYPE,,107
231.00,-gneE22_0,45.25,13.32,141.00,5.00,1/0to0/0_0,5.10,0.00,tripinfo_136,90.00,136,0,230.97,1.00,73.22,DEFAULT_VEHTYPE,,54
232.00,gneE9_0,45.25,13.52,157.00,0.00,gneE20_0,5.10,0.00,tripinfo_157,75.00,157,0,185.90,1.00,60.61,DEFAULT_VEHTYPE,,43
233.00,gneE11_0,45.25,12.80,155.00,1.00,0/0to1/0_0,5.10,0.00,tripinfo_154,78.00,154,0,235.65,1.00,60.54,DEFAULT_VEHTYPE,,51
233.00,gneE9_0,45.25,13.41,202.00,0.00,gneE20_0,5.10,0.00,tripinfo_202,31.00,202,0,185.90,1.00,17.28,DEFAULT_VEHTYPE,,8
233.00,gneE5_0,45.25,13.01,42.00,0.00,-gneE13_0,5.10,0.00,tripinfo_42,191.00,42,0,284.50,1.00,169.44,DEFAULT_VEHTYPE,,133
234.00,-gneE22_0,45.25,13.29,185.00,0.00,-gneE13_0,5.10,0.00,tripinfo_185,49.00,185,0,190.40,1.00,34.42,DEFAULT_VEHTYPE,,21
236.00,-gneE22_0,45.25,12.87,197.00,0.00,0/0to1/0_0,5.10,0.00,tripinfo_197,39.00,197,0,135.65,1.00,28.38,DEFAULT_VEHTYPE,,17
236.00,gneE7_0,45.25,12.72,64.00,0.00,-gneE7_0,5.10,0.00,tripinfo_64,172.00,64,0,287.81,1.00,150.43,DEFAULT_VEHTYPE,,110
236.00,-gneE20_0,45.25,13.11,150.00,0.00,-gneE11_0,5.10,0.00,tripinfo_150,86.00,150,0,190.40,1.00,71.38,DEFAULT_VEHTYPE,,53
